ACO,ADCORDESC,ADMATDESC,ATUALIZADO,BEIRASOLA,BLOQ_246F,CAPASALTO,CAP_PRODUT,CARIMBO,CAVIDADE,CENTRIFUGA,CFACE1,CFACE2,CFOP,CLASFISC,CLIENTE,CODCOR,CODFISC,CODIFISC,CODIGO,CODI_ROY,COLECAO,COMBINAC,COMB_COR,COMISSAO,COMIS_ROY,CONSTRUC,COR01,COR02,COR03,COR04,COR05,COR06,COR07,CORPALM,CORRUGADO,CORR_CHAVE,COR_AD_01,COR_AD_02,COR_ECO,CUSTOS,CUST_ADIC,CUST_TAREF,C_ELASTICO,C_VIES,DESCDAFITI,DESCFAT,DIGITACAO,DISPONIVEL,DTA_DESENV,DT_ULT_FAT,EAN13,ESTOQUE,FABRICA,FINAL,FORMA,FORRO,FOTOGRAFIA,GRADE,GRADELIVRE,GRD_TALAO,HORA,HORA_ATU,INTERNET,ITEM_BRIO,LARGURA,LINHA,MARCADO,MARCAR,MARCPALM,MATER_CXA,MATESTOQUE,MATRIZ,MAT_ECO,MERCADO,MFACE1,MFACE2,MODELOCOML,NAVALHA,NET,NMEDIOGRAD,NOME,NOMECOR,NOME_ROY,NSUBCAT,NUMCOR,OBS,OBS_FOTO,OPERADOR,PALMILHA,PERC_AGREG,PESO,PRECO,PRECO2,PRECO3,PRECO_FAB,PROCES_TXT,PROCES_VAL,PROD_TXT,PROD_VAL,QTDEVOL,QTDE_TALAO,REFCOSTPOL,REFCOSTRED,REFER,REFERCLIE,REFILAR,REFPALMA,REFTOTAL,RISCO,ROYALTIE,SALTO,SEGMENTO,SEGUIR,SEL01,SEL02,SEL03,SEL04,SEL05,SEL06,SEL07,SEL08,SEL09,SEL10,SEL11,SEL12,SEL13,SEL14,SEL15,SEL16,SEL17,SEL18,SEL19,SEL20,SEM_AGREG,SEQUENCIA,SETORPALM,SITUACAO,SOLA,SPEED_CLAS,SPEED_CODI,SUBCAT,TAB_CAPA,TIPO16,TIPOCARIMB,TIPOPALM,TIPOPROD,TIRAPOLIND,TORNO,UNID_TALAO
,,,2026-03-05,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,PLANA,2026-03-03,,,,,,,,,,,,,,08:06,16:49,,,,,,,,,,,,,,,,,,,PLANA,,,,1,,,GUSTAVO,,,,,,,,,1,1-PALM PLA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,002-PLANA,,,,,,,,,,,,,
,,,2026-03-05,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,PALMILHA CONFORMADA,2026-03-03,,,,,,,,,,,,,,08:12,16:49,,,,,,,,,,,,,,,,,,,CONFORMADA,,,,1,,,GUSTAVO,,,,,,,,,1,2-PALM CON,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,001-CONFORMADA,,,,,,,,,,,,,
,,,2026-03-05,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,PALMILHA EM CUNHO,2026-03-03,,,,,,,,,,,,,,08:13,16:50,,,,,,,,,,,,,,,,,,,CUNHO,,,,1,,,GUSTAVO,,,,,,,,,1,3-PALM CUN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,003-CUNHO,,,,,,,,,,,,,
,,,2026-03-03,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,PEÇA TECNICA,2026-03-03,,,,,,,,,,,,,,08:15,08:19,,,,,,,,,,,,,,,,,,,PEÇA TECNICA,,,,1,,,GUSTAVO,,,,,,,,,1,4-PEÇA TEC,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,001-CONFORMADA,,,,,,,,,,,,,
,,,2026-03-09,,,,,,,,,,5101,D0,000373,,01,,18,,,,0007,,,,,,,,,,,,,,,,,,,,,,,PALM CONFORMADA 298 DUB TECIDO NATURAL - SEM RECORTE,2026-03-05,,,,,,,,,,\Fotos\RMS NAT.JPEG,MI,,,17:10,08:26,,,,,,,SEM MARCA,,,298,,,,,,SEM RECORTE,,,PALM CONF 298 NATURAL,,,,1,,,GISELE,,,0.0,2.95,,,,3-TERMO CONFORMADA,4,2-PALM CON,3,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,False,,,,False,,,001-CONFORMADA,,,,,,,,,,,,,
0,False,False,2026-03-09,,False,0,0,,0,0,,,5101,D0,000374,,01,,21,,,,0006,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,False,False,,PALM CONF 290 EVA BRANCO DUB TECIDO PRETO **33,2026-03-05,0.0,,,,0.0,,0.0,,,\Fotos\PRETO 290.JPEG,MI,False,0,17:48,08:26,,,,,False,,SEM MARCA,,,290,,0,,,,290,False,0,PALM 290 PRETO,,,0,1,,,GISELE,,0.0,0.0,3.38,0.0,0.0,0.0,3-TERMO CONFORMADA,4,2-PALM CON,3,0,0,False,False,,3305403,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0,,001-CONFORMADA,False,,0,,,,0,,0,,False,0.0,0
0,False,False,2026-03-12,,False,0,0,,0,0,,,5124,D0,000374,,91,,22,,,,0009,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,False,False,,PALM CONF 290 EVA BRANCO DUB TECIDO CAMEL**33,2026-03-05,0.0,,,,0.0,,0.0,,,,MI,False,0,17:49,16:27,,,,,False,,SEM MARCA,,,290,,0,,,,290,False,0,PALM 290 CAMEL,,,0,1,,,GISELE,,0.0,0.0,3.38,0.0,0.0,0.0,3-TERMO CONFORMADA,4,2-PALM CON,3,0,0,False,False,,3306392,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0,,001-CONFORMADA,False,,0,,,,0,,0,,False,0.0,0
0,False,False,2026-03-09,,False,0,0,,0,0,,,5101,D0,000375,,01,,23,,,,0005,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,False,False,,PALM CONFORMADA 298 DUB TECIDO BRANCO - SEM RECORTE,2026-03-06,0.0,,,,0.0,,0.0,,,\Fotos\L DE MOURA BCO.JPEG,MI,False,0,09:15,08:26,,,,,False,,SEM MARCA,,,298,,0,,,,SEM RECORTE,False,0,PALM CONF 298 BRANCO,,,0,1,,,GISELE,,0.0,0.0,3.2,0.0,0.0,0.0,3-TERMO CONFORMADA,4,2-PALM CON,3,0,0,False,False,,,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0,,001-CONFORMADA,False,,0,,,,0,,0,,False,0.0,0
,,,2026-03-09,,,,,,,,,,5124,D0,000377,,01,,26,,,,0010,,,,,,,,,,,MARROM,,,,,,,,,,,,PALM EVA 5MM L.30277 PLANA COR SARJA CRU - ANACAPRI MARROM,2026-03-06,,,,,,,,,,\Fotos\SARJA PLANA.JPEG,MI,,,10:23,09:52,,,,,,,ANACAPRI,,,PLANA,,,,,,30277,,,PLANA SARJA CRU L.30277,,,,1,TAMPOGRAFIA ANACAPRI MARROM,,GISELE,,,,1.73,,,,4-PLANA,5,1-PALM PLA,2,,,,,,00427000013,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,False,,,,False,,,002-PLANA,,,,,,,,,,,,,
0,False,False,2026-03-09,,False,0,0,,0,0,,,5124,D0,000367,,91,,5,,,,0001,0.0,0.0,,,,,,,,,PRETO,0,,,,,,0.0,0.0,False,False,,PALMILHA EM EVA 5MM BRANCO NAV 10965 DUB TECIDO DRY COLL CREMA WHITE TAMP. AREZZO PRETO,2026-03-03,0.0,,,,0.0,,0.0,,,\Fotos\WHATSAPP IMAGE 2026-03-04 AT 14.19.11 (4).JPEG,MI,False,0,09:21,08:24,,,,,False,,AREZZO,,,PLANA,,0,,,,10965,False,0,PALM PLANA 5MM NAV10965 CREMA WHITE,,,0,1,TAMPOGRAFIA AREZZO,,GISELE,,0.0,0.0,1.84,0.0,0.0,0.0,4-PLANA,5,1-PALM PLA,2,0,0,False,False,,0045366.72853,0.0,False,False,,0,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0,,002-PLANA,False,,0,,,,0,,0,,False,0.0,0
