ACEITE,ANALISE,ATRASO1,ATRASO2,ATRASO_TXT,ATUALIZADO,BASECOMISS,BLOQ_243D,CLIENTE,CODIGO,COMISSAO,COMISSAO2,COMIS_NF,COND_PGTO,DATA_FABR,DESCONTO,DESCONTO2,DIGITACAO,DIGITANDO,DOCTO_PGTO,EMBARQUEF,EMBARQUEI,EPP,EPPPROD,EPPRESERVA,EPP_P_ANT,EPP_R_ANT,EXPEDICAO,FABRICA,FAB_ID,FATURADOS,HORA,HORA_ATU,HORA_FABR,IMP_ROTULO,INFORMAFAT,LEPOSTICHE,LOJA,MARC_REMES,MERCADO,MOTIVO,NAO_COMPRA,NAO_CONSUL,NAO_REMESS,NET,NFOBS,NOME,NPED_INT,N_ITENS,OBS_EXPED,OC,OPCAO34,OPERADOR,OPER_ALT,PEDCLIENTE,PERC_NF,PLANOFAB,PRAZOMEDIO,PREVISAO,PREVPROD,PRIORIDADE,PRODUCAO,PROGRAMADO,PRONTAENTR,REMESSA,REPROVACAO,SALDO,SEMANA,SEMST,STATUS,TIPODOCTO,TIPOFRETE,TIPOPEDIDO,TOTAL,TRANSPORT,VENDA,VENDALOJA,VENDEDOR,VENDEDOR2,WEB_ID
,,,,,2026-03-10,,,000380,000003,,,0.0,000,,,,2026-03-10,,,,,,False,False,False,False,0,,,0,09:48,09:49,,,False,,,False,,,False,False,False,,,BRUNA IND Eamp; COM DE CALCADOS LTD,,,,,,GISELE,GISELE,10.03,,,0,2026-03-27,,,0,,False,,,193,,,,,,,193,,2026-03-10,,000002,,
,,,,,2026-03-10,,,000380,00002R,,,0.0,000,,,,2026-03-10,,,,,,False,False,False,False,0,,,0,09:50,09:50,,,False,,,False,,,False,False,False,,,BRUNA IND Eamp; COM DE CALCADOS LTD,,,,,,GISELE,GISELE,10-03,,,0,2026-03-20,,,0,,False,,,38,,,,,,,38,,2026-03-10,,000002,,
,,,,,2026-03-11,,,000377,000004,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,14:29,14:30,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,4514,,,35,2026-03-27,,,0,,False,,,286,,,,,,,286,,2026-03-11,,000002,,
,,,,,2026-03-11,,,000377,000005,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,14:30,14:30,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,4516,,,35,2026-03-27,,,0,,False,,,217,,,,,,,217,,2026-03-11,,000002,,
,,,,,2026-03-13,,,000377,000006,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,14:30,10:58,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,4515,,,35,2026-03-27,,,0,,False,,,458,,,,,,,458,,2026-03-11,,000002,,
,,,,,2026-03-11,,,000377,000010,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,17:39,17:39,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,4519,,,35,2026-03-30,,,0,,False,,,117,,,,,,,117,,2026-03-11,,000002,,
,,,,,2026-03-11,,,000377,000011,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,17:40,17:41,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,4524,,,35,2026-03-30,,,0,,False,,,632,,,,,,,632,,2026-03-11,,000002,,
,,,,,2026-03-13,,,000374,000012,,,0.0,021,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,17:41,15:21,,,False,,,False,,,False,False,False,,,D MATTHES CALCADOS LTDA,,,,,,GISELE,GISELE,2308,,,21,2026-04-01,,,0,,False,,,225,,,,,,,225,,2026-03-11,,000003,,
,,,,,2026-03-11,,,000368,000007,,,0.0,028,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,16:18,16:18,,,False,,,False,,,False,False,False,,,SUGAR SHOES INDUSTRIA DE CALCADOS L,,,,,,GISELE,GISELE,11/03,,,28,2026-03-30,,,0,,False,,,19,,,,,,,19,,2026-03-11,,000002,,
,,,,,2026-03-11,,,000377,000008,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,16:18,16:18,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,11.05,,,35,2026-03-30,,,0,,False,,,92,,,,,,,92,,2026-03-11,,000002,,
