AGRUPADO,ATUALIZADO,BLOQ_2469,CANCELADO,CODIGO,DE_ATE,DE_ESTOQUE,DTULTSETOR,EMPROD,EXPEDICAO,FATURADO,GRADE,HORA_ATU,IMPRESSO,IMP_ETIQ,ITEM,ITEMNF,LOTE,MATERIAL,MI,NFISCAL,NOME,NUMEROS,PEDIDO,PRODUCAO,QTDE_ETIQ,QUEBORIGEM,REFERENCIA,REMESSA,SERIE,SETORESTOQ,TOTAL,ULTSETOR
False,2026-03-12,False,True,00000301,001-001,False,,,,,,08:59,True,,001,,000001,,S,,,00000004000100060001000000020000000000000000000000000000000000014,00001R,,,,,000004,,,14,
False,2026-03-13,False,False,00000401,001-008,False,,,,,,11:14,True,,001,,000001,,N,,,00040000000000000000000000000000000000000000000000000000000000004,000004,,,,,000005,,,4,
False,2026-03-13,False,False,00000402,002-008,False,,,,,,11:14,True,,001,,000001,,N,,,00000023000000000000000000000000000000000000000000000000000000023,000004,,,,,000005,,,23,
False,2026-03-13,False,False,00000403,003-008,False,,,,,,11:14,True,,001,,000001,,N,,,00000000004300000000000000000000000000000000000000000000000000043,000004,,,,,000005,,,43,
False,2026-03-13,False,False,00000404,004-008,False,,,,,,11:14,True,,001,,000001,,N,,,00000000000000610000000000000000000000000000000000000000000000061,000004,,,,,000005,,,61,
False,2026-03-13,False,False,00001301,001-006,False,,,,,,11:16,True,,007,,000001,,N,,,00000011000000000000000000000000000000000000000000000000000000011,000002,,,,,000014,,,11,
False,2026-03-13,False,False,00001302,002-006,False,,,,,,11:16,True,,007,,000001,,N,,,00000000003500000000000000000000000000000000000000000000000000035,000002,,,,,000014,,,35,
False,2026-03-13,False,False,00001303,003-006,False,,,,,,11:16,True,,007,,000001,,N,,,00000000000000500000000000000000000000000000000000000000000000050,000002,,,,,000014,,,50,
False,2026-03-13,False,False,00001304,004-006,False,,,,,,11:16,True,,007,,000001,,N,,,00000000000000000047000000000000000000000000000000000000000000047,000002,,,,,000014,,,47,
False,2026-03-13,False,False,00001305,005-006,False,,,,,,11:16,True,,007,,000001,,N,,,00000000000000000000002600000000000000000000000000000000000000026,000002,,,,,000014,,,26,
False,2026-03-13,False,False,00001306,006-006,False,,,,,,11:16,True,,007,,000001,,N,,,00000000000000000000000000140000000000000000000000000000000000014,000002,,,,,000014,,,14,
False,2026-03-13,False,False,00001401,001-023,False,,,,,,11:16,True,,008,,000001,,N,,,00200000000000000000000000000000000000000000000000000000000000020,000002,,,,,000015,,,20,
False,2026-03-13,False,False,00001402,002-023,False,,,,,,11:16,True,,008,,000001,,N,,,00000120000000000000000000000000000000000000000000000000000000120,000002,,,,,000015,,,120,
False,2026-03-13,False,False,00001403,003-023,False,,,,,,11:16,True,,008,,000001,,N,,,00000056000000000000000000000000000000000000000000000000000000056,000002,,,,,000015,,,56,
False,2026-03-13,False,False,00000405,005-008,False,,,,,,11:14,True,,001,,000001,,N,,,00000000000000000070000000000000000000000000000000000000000000070,000004,,,,,000005,,,70,
